"x","y","aer","week"
60.05,38.95,67,44
60.15,38.95,66,44
60.25,38.95,67,44
60.35,38.95,66,44
60.45,38.95,58,44
60.55,38.95,55,44
60.65,38.95,55,44
60.75,38.95,54,44
60.85,38.95,54,44
60.95,38.95,52,44
61.05,38.95,52,44
61.15,38.95,57,44
61.25,38.95,58,44
61.35,38.95,62,44
61.45,38.95,62,44
61.55,38.95,62,44
61.65,38.95,62,44
61.75,38.95,62,44
61.85,38.95,62,44
61.95,38.95,58,44
62.05,38.95,56,44
62.15,38.95,55,44
62.25,38.95,60,44
62.35,38.95,60,44
62.45,38.95,59,44
62.55,38.95,53,44
62.65,38.95,50,44
62.75,38.95,46,44
62.85,38.95,42,44
62.95,38.95,45,44
63.05,38.95,45,44
63.15,38.95,44,44
63.25,38.95,47,44
63.35,38.95,49,44
63.45,38.95,61,44
63.55,38.95,68,44
63.65,38.95,60,44
63.75,38.95,51,44
63.85,38.95,49,44
63.95,38.95,49,44
64.05,38.95,46,44
64.15,38.95,41,44
64.25,38.95,40,44
64.35,38.95,48,44
64.45,38.95,55,44
64.55,38.95,56,44
64.65,38.95,58,44
64.75,38.95,57,44
64.85,38.95,56,44
64.95,38.95,54,44
65.05,38.95,53,44
65.15,38.95,54,44
65.25,38.95,57,44
65.35,38.95,72,44
65.45,38.95,79,44
65.55,38.95,82,44
65.65,38.95,85,44
65.75,38.95,76,44
65.85,38.95,59,44
65.95,38.95,56,44
66.05,38.95,56,44
66.15,38.95,57,44
66.25,38.95,56,44
66.35,38.95,57,44
66.45,38.95,58,44
66.55,38.95,72,44
66.65,38.95,74,44
66.75,38.95,75,44
66.85,38.95,75,44
66.95,38.95,68,44
67.05,38.95,48,44
67.15,38.95,21,44
67.25,38.95,13,44
67.35,38.95,13,44
67.45,38.95,0,44
67.55,38.95,0,44
67.65,38.95,0,44
67.75,38.95,0,44
67.85,38.95,0,44
67.95,38.95,0,44
68.05,38.95,0,44
68.15,38.95,0,44
68.25,38.95,0,44
68.35,38.95,0,44
68.45,38.95,0,44
68.55,38.95,0,44
68.65,38.95,0,44
68.75,38.95,0,44
68.85,38.95,0,44
68.95,38.95,0,44
69.05,38.95,0,44
69.15,38.95,0,44
69.25,38.95,0,44
69.35,38.95,0,44
69.45,38.95,0,44
69.55,38.95,0,44
69.65,38.95,0,44
69.75,38.95,0,44
69.85,38.95,0,44
69.95,38.95,0,44
70.05,38.95,0,44
70.15,38.95,0,44
70.25,38.95,0,44
70.35,38.95,0,44
70.45,38.95,0,44
70.55,38.95,0,44
70.65,38.95,0,44
70.75,38.95,0,44
70.85,38.95,0,44
70.95,38.95,0,44
71.05,38.95,0,44
71.15,38.95,0,44
71.25,38.95,0,44
71.35,38.95,0,44
71.45,38.95,0,44
71.55,38.95,0,44
71.65,38.95,0,44
71.75,38.95,0,44
71.85,38.95,0,44
71.95,38.95,0,44
72.05,38.95,0,44
72.15,38.95,0,44
72.25,38.95,0,44
72.35,38.95,0,44
72.45,38.95,0,44
72.55,38.95,0,44
72.65,38.95,0,44
72.75,38.95,0,44
72.85,38.95,0,44
72.95,38.95,0,44
73.05,38.95,0,44
73.15,38.95,0,44
73.25,38.95,0,44
73.35,38.95,0,44
73.45,38.95,0,44
73.55,38.95,0,44
73.65,38.95,0,44
73.75,38.95,0,44
73.85,38.95,0,44
73.95,38.95,0,44
74.05,38.95,0,44
74.15,38.95,10,44
74.25,38.95,17,44
74.35,38.95,32,44
74.45,38.95,0,44
74.55,38.95,0,44
74.65,38.95,0,44
74.75,38.95,0,44
74.85,38.95,0,44
74.95,38.95,0,44
75.05,38.95,0,44
75.15,38.95,0,44
75.25,38.95,0,44
75.35,38.95,0,44
75.45,38.95,0,44
75.55,38.95,13,44
75.65,38.95,13,44
75.75,38.95,14,44
75.85,38.95,16,44
75.95,38.95,16,44
76.05,38.95,15,44
76.15,38.95,19,44
76.25,38.95,19,44
76.35,38.95,16,44
76.45,38.95,16,44
76.55,38.95,17,44
76.65,38.95,14,44
76.75,38.95,0,44
76.85,38.95,33,44
76.95,38.95,20,44
77.05,38.95,18,44
77.15,38.95,21,44
77.25,38.95,28,44
77.35,38.95,28,44
77.45,38.95,27,44
77.55,38.95,19,44
77.65,38.95,16,44
77.75,38.95,24,44
77.85,38.95,24,44
77.95,38.95,21,44
78.05,38.95,17,44
78.15,38.95,20,44
78.25,38.95,20,44
78.35,38.95,25,44
78.45,38.95,19,44
78.55,38.95,16,44
78.65,38.95,20,44
78.75,38.95,20,44
78.85,38.95,18,44
78.95,38.95,13,44
79.05,38.95,13,44
79.15,38.95,13,44
79.25,38.95,11,44
79.35,38.95,9,44
79.45,38.95,8,44
79.55,38.95,11,44
79.65,38.95,10,44
79.75,38.95,10,44
79.85,38.95,10,44
79.95,38.95,12,44
80.05,38.95,13,44
80.15,38.95,12,44
80.25,38.95,11,44
80.35,38.95,12,44
80.45,38.95,13,44
80.55,38.95,12,44
80.65,38.95,11,44
80.75,38.95,14,44
80.85,38.95,17,44
80.95,38.95,17,44
81.05,38.95,17,44
81.15,38.95,15,44
81.25,38.95,18,44
81.35,38.95,20,44
81.45,38.95,13,44
81.55,38.95,14,44
81.65,38.95,13,44
81.75,38.95,14,44
81.85,38.95,15,44
81.95,38.95,14,44
82.05,38.95,15,44
82.15,38.95,15,44
82.25,38.95,14,44
82.35,38.95,12,44
82.45,38.95,11,44
82.55,38.95,12,44
82.65,38.95,13,44
82.75,38.95,14,44
82.85,38.95,14,44
82.95,38.95,16,44
83.05,38.95,16,44
83.15,38.95,17,44
83.25,38.95,16,44
83.35,38.95,16,44
83.45,38.95,15,44
83.55,38.95,14,44
83.65,38.95,15,44
83.75,38.95,16,44
83.85,38.95,17,44
83.95,38.95,17,44
84.05,38.95,18,44
84.15,38.95,18,44
84.25,38.95,20,44
84.35,38.95,18,44
84.45,38.95,18,44
84.55,38.95,31,44
84.65,38.95,22,44
84.75,38.95,26,44
84.85,38.95,21,44
84.95,38.95,17,44
85.05,38.95,14,44
85.15,38.95,15,44
85.25,38.95,18,44
85.35,38.95,18,44
85.45,38.95,17,44
85.55,38.95,17,44
85.65,38.95,18,44
85.75,38.95,19,44
85.85,38.95,19,44
85.95,38.95,20,44
86.05,38.95,24,44
86.15,38.95,26,44
86.25,38.95,27,44
86.35,38.95,25,44
86.45,38.95,25,44
86.55,38.95,26,44
86.65,38.95,27,44
86.75,38.95,29,44
86.85,38.95,30,44
86.95,38.95,31,44
87.05,38.95,31,44
87.15,38.95,33,44
87.25,38.95,32,44
87.35,38.95,31,44
87.45,38.95,30,44
87.55,38.95,32,44
87.65,38.95,30,44
87.75,38.95,28,44
87.85,38.95,33,44
87.95,38.95,26,44
88.05,38.95,24,44
88.15,38.95,25,44
88.25,38.95,0,44
88.35,38.95,0,44
88.45,38.95,0,44
88.55,38.95,0,44
88.65,38.95,0,44
88.75,38.95,12,44
88.85,38.95,19,44
88.95,38.95,18,44
89.05,38.95,20,44
89.15,38.95,23,44
89.25,38.95,24,44
89.35,38.95,23,44
89.45,38.95,22,44
89.55,38.95,22,44
89.65,38.95,26,44
89.75,38.95,30,44
89.85,38.95,25,44
89.95,38.95,24,44
90.05,38.95,20,44
90.15,38.95,19,44
90.25,38.95,16,44
90.35,38.95,16,44
90.45,38.95,15,44
90.55,38.95,15,44
90.65,38.95,15,44
90.75,38.95,0,44
90.85,38.95,0,44
90.95,38.95,22,44
91.05,38.95,21,44
91.15,38.95,22,44
91.25,38.95,0,44
91.35,38.95,0,44
91.45,38.95,0,44
91.55,38.95,0,44
91.65,38.95,0,44
91.75,38.95,0,44
91.85,38.95,31,44
91.95,38.95,22,44
92.05,38.95,22,44
92.15,38.95,22,44
92.25,38.95,14,44
92.35,38.95,14,44
92.45,38.95,0,44
92.55,38.95,23,44
92.65,38.95,14,44
92.75,38.95,16,44
92.85,38.95,22,44
92.95,38.95,20,44
93.05,38.95,27,44
93.15,38.95,0,44
93.25,38.95,15,44
93.35,38.95,14,44
93.45,38.95,39,44
93.55,38.95,12,44
93.65,38.95,13,44
93.75,38.95,0,44
93.85,38.95,21,44
93.95,38.95,37,44
94.05,38.95,41,44
94.15,38.95,39,44
94.25,38.95,31,44
94.35,38.95,28,44
94.45,38.95,29,44
94.55,38.95,23,44
94.65,38.95,18,44
94.75,38.95,17,44
94.85,38.95,31,44
94.95,38.95,0,44
60.05,38.85,64,44
60.15,38.85,65,44
60.25,38.85,65,44
60.35,38.85,68,44
60.45,38.85,63,44
60.55,38.85,60,44
60.65,38.85,59,44
60.75,38.85,58,44
60.85,38.85,57,44
60.95,38.85,57,44
61.05,38.85,57,44
61.15,38.85,60,44
61.25,38.85,59,44
61.35,38.85,60,44
61.45,38.85,59,44
